N1	See readers' New Year photos	How do you celebrate the evening?
N2	These are some of the world's coolest passport stamps	Cute, weird and illegible stamps. One of Norway's most well-travelled men shows us his favorites.
N3	- There will be fireworks	The launch of the fireworks from The Fortress will go as planned.
N4	Here it boils over for Tønseth. Then he ran from the stadium in anger.	The Byåsen runner was furious when his pole broke and his semifinal spot slipped.
N5	This is how the holiday year 2017 will be	There are extra many days off and record-long summer holidays for schoolchildren.
N6	One in three Norwegians will train more in 2017	Almost one in three say they plan to exercise more in 2017, while a quarter will eat healthier in the coming year. For many, the trick to success will be to lower their ambitions, according to the Directorate of Health.
N7	Rema advertises with the letter æ	Rema has something going on with an æ. But no one who knows will say what it's all about.
N8	Trondheim, from the harbour towards Pirbadet	
N9	This is what it looked like in the container when the police opened the doors	The fireworks theft at Sveberg is still a mystery. Police are calling for sightings.
N10	VIDEO: Torture cellar	Published: 05 Jan 2009 12:26 Last updated: 17 April 2012 13:00
N11	Forecasts full westerly storm in Trøndelag night to New Year's Eve	2016 in Trøndelag ends with a violent storm. Both Friday and New Year's Eve, the Norwegian Meteorological Institute forecasts a full westerly storm.
N12	In this picture, Magnus Carlsen stands out: - A bit random	"It's amazing," Bae says of the world number one.
N13	Who do you think is Trønder of the Year?	This weekend is the last opportunity to vote.
N14	Five graphs that tell what Norwegians do on New Year's Eve	In the transition to a new year – what do we look at, what do we eat and drink and how much goes up in smoke?
N15	Hidden Treasures on Netflix and HBO Nordic	Netflix and HBO Nordic are reasonably poor on news this January, but there are treasures here that you may never have seen.
N16	Here you can send up fireworks	The fireworks ban does not apply throughout Trondheim. On this map you can see where the border is.
N17	Trondheim spends NOK 500,000 less than Stavanger	The country's five largest cities are setting off fireworks for just over two million kroner on New Year's Eve.
N18	Norwegian runner returns home from Tour de Ski	Martine Ek Hagen has fallen ill during the night and will not be there when the Tour de Ski starts later Saturday.
N19	Northug's coach doesn't think Sundby will win the Tour de Ski	Petter Northug is still not back in normal training.
N20	Man (78) found dead in a manhole by national road in Gjemnes	A 78-year-old man was found dead in a manhole on county road 666 in Gjemnes on Nordmøre on Christmas Day 1. Police are investigating the death as suspicious.
N21	Warns against strong wind gusts in the inner regions of Trøndelag	2016 will end with storms in Mid-Norway. The Norwegian Meteorological Institute has issued warnings about strong wind gusts in the inner regions on Friday and Saturday.
N22	For the first time, people can buy this on New Year's Eve	It is a historic day at vinmonopolet. For the very first time it is open on a New Year's Eve.
N23	Hurtigruten turned around at Folda	The Hurtigruten "Richard With" encountered strong winds and waves of 12-15 meters over Folda Saturday morning. Therefore, the captain chose to turn the ship around and they now return to Rørvik.
N24	New Year's Eve is made for bubbly drinks	For the first time, Vinmonopolet is open on New Year's Eve. Gaute Skjold is store manager at the pole at Valentinlyst and thinks he will sell the most sparkling.
N25	Adressa glimpse from 1970	Episodes 43 years back.
N26	Here it was summer temperatures last night	Last night, summer temperatures were measured at Nordmøre. With 18.1 degrees, Sunndalsøra measured the highest temperature ever measured in Norway at the end of December.
N27	Here you get at least 5000 in fine for rocket launch	But you can use some explosives in Midtbyen as well.
N28	15 000 more in lump sum for new parents	New parents, who have not earned the right to parental benefits, will receive NOK 15,000 more in lump sum benefits from the New Year. Newly arrived immigrants, on the other hand, receive cuts in the right to action money.
N29	Trondheim, from the harbour towards Rockheim	
N30	Today opened a new playland at Lade	Leo's playland has moved from Tiller to Lade. Joining the team are about 30 new employees.
N31	QUIZ: Which municipalities should actually merge?	The people had their say in 2016. But what do you know about municipal amalgamation?
N32	Construction boom leads to strong growth for Hent	The construction company had a turnover of more than NOK three billion in 2011.
N33	See pictures of cars coming soon on the roads of Trøndelag	Several automakers unveiled new models at the Geneva car show.
N34	Trondheim, the mouth of the River Nidelva	
N35	Did you think 2017 will be a boring sports year? Think again	The highlights are lined up. Here is the most important thing to see.
N36	Fire call to kitchen at Singsaker	Heating in a refrigerator triggered a full fire on Saturday afternoon. The fire department has the situation under control.
N37	This is how the Football World Cup will be in Qatar	Accusations of corruption, inhumane treatment of guest workers and an inhospitable climate. Nevertheless, Qatar is in World Cup territory.
N38	The housing market 2017: Think there will be a battle for the objects	Therefore, house price growth may be curbed halfway through 2017.
N39	Quiz: Who is the man who greets King Harald in this picture?	We've dived into the archives and found some old sports heroes. But do you remember them?
N40	Horse lake will be affected by new landfill	The case is updated. For the 8th time (!) the city councillor in Trondheim is trying to stop the mass landfill at Hestsjøen. The first time the councillor said no to the landfill was in March 2014. 
N41	The city hall will be located at Nidarø	Massive protests and actions have not affected the majority of the city council. On Thursday evening, they knocked through that the new metropolitan hall will be located at Nidarø.
N42	Let's hope that Viking becomes Norway's leading team in "gegenpress"	BLOG: Johan Selvig sums up the 2016 season and looks forward to 2017.
N43	Koteng: - Difficult to get investors	Ivar Koteng likes the idea of a new hockey hall in town. But I think it will be tough for the hockey family to get private investors on board with the project.
N44	The storm hit Trøndelag	The wind increases to a small storm in Trøndelag. "But it's South Norway who got it this time," says meteorologist on duty, Frode Hassel. The Norwegian Meteorological Institute reports that Urd has blown to hurricane strength in several places tonight.
N45	Source sorting?	Not exactly stupid, but full of stupid questions. I take on the task of finding answers to the questions you don't ask out loud with others.
N46	If you have a tenant, you must measure radon	Next year, homeowners need to know what radon levels are in rental properties.
N47	Now there will be a new road between Trondheim and Klæbu	Road works create major challenges for road users this summer.
N48	This is how New Year's Eve is celebrated	See the pictures from the New Year celebrations.
N49	Trond and Aleksander have had their Christmas decorations out there for three months. Now they are ready for a New Year's party.	When Aleksander and Trond pack up their Christmas decorations and let the New Year's party take over, they have had a Christmas home for three months.
N50	E6 Hjerkinn	
