3	nyheter	trondheim	- There will be fireworks	The launch of the fireworks from The Fortress will go as planned.	http://www.adressa.no/nyheter/trondheim/2016/12/31/Det-blir-fyrverkeri-14000281.ece		
4	100sport	vintersport	Here it boils over for Tønseth. Then he ran from the stadium in anger.	The Byåsen runner was furious when his pole broke and his semifinal spot slipped.	http://www.adressa.no/100Sport/vintersport/langrenn/Her-koker-det-over-for-Tonseth-Sa-stakk-han-fra-stadion-i-sinne-228102b.html		
6	nyheter	sortrondelag	This is how the holiday year 2017 will be	There are extra many days off and record-long summer holidays for schoolchildren.	http://www.adressa.no/nyheter/sortrondelag/2016/12/30/Slik-blir-ferie%c3%a5ret-2017-13996424.ece		
9	nyheter	innenriks	One in three Norwegians will train more in 2017	Almost one in three say they plan to exercise more in 2017, while a quarter will eat healthier in the coming year. For many, the trick to success will be to lower their ambitions, according to the Directorate of Health.	http://www.adressa.no/nyheter/innenriks/2016/12/31/Mange-nordmenn-vil-trene-mer-i-2017-14000934.ece		
10	nyheter	okonomi	Rema advertises with the letter æ	Rema has something going on with an æ. But no one who knows will say what it's all about.	http://www.adressa.no/nyheter/okonomi/2016/12/29/Rema-reklamerer-med-bokstaven-%c3%a6-13993634.ece		
12	nyheter	sortrondelag	This is what it looked like in the container when the police opened the doors	The fireworks theft at Sveberg is still a mystery. Police are calling for sightings.	http://www.adressa.no/nyheter/sortrondelag/2016/12/30/Slik-s%c3%a5-det-ut-i-containeren-da-politiet-%c3%a5pnet-d%c3%b8rene-13996180.ece		
17	100sport	sjakk	In this picture, Magnus Carlsen stands out: - A bit random	"It's amazing," Bae says of the world number one.	http://www.adressa.no/100Sport/sjakk/Pa-dette-bildet-skiller-Magnus-Carlsen-seg-ut---Litt-tilfeldig-228091b.html		
22	nyheter	trondheim	Here you can send up fireworks	The fireworks ban does not apply throughout Trondheim. On this map you can see where the border is.	http://www.adressa.no/nyheter/trondheim/article1426837.ece		
23	nyheter	innenriks	Trondheim spends NOK 500,000 less than Stavanger	The country's five largest cities are setting off fireworks for just over two million kroner on New Year's Eve.	http://www.adressa.no/nyheter/innenriks/2016/12/31/Storbyene-svir-av-millioner-p%c3%a5-fyrverkeri-13999156.ece		
24	100sport	vintersport	Norwegian runner returns home from Tour de Ski	Martine Ek Hagen has fallen ill during the night and will not be there when the Tour de Ski starts later Saturday.	http://www.adressa.no/100Sport/vintersport/langrenn/Norsk-loper-reiser-hjem-fra-Tour-de-Ski-228087b.html		
25	100sport	vintersport	Northug's coach doesn't think Sundby will win the Tour de Ski	Petter Northug is still not back in normal training.	http://www.adressa.no/100Sport/vintersport/langrenn/Northugs-trener-tror-ikke-Sundby-vinner-Tour-de-Ski-228088b.html		
26	nyheter	moreromsdal	Man (78) found dead in a manhole by national road in Gjemnes	A 78-year-old man was found dead in a manhole on county road 666 in Gjemnes on Nordmøre on Christmas Day 1. Police are investigating the death as suspicious.	http://www.adressa.no/nyheter/moreromsdal/2016/12/30/Mann-78-funnet-d%c3%b8d-i-en-kum-ved-riksvei-i-Gjemnes-13995887.ece		
28	nyheter	trondheim	For the first time, people can buy this on New Year's Eve	It is a historic day at vinmonopolet. For the very first time it is open on a New Year's Eve.	http://www.adressa.no/nyheter/trondheim/2016/12/31/Handler-inn-til-fem-retters-middag-14000000.ece		
29	nyheter	sortrondelag	Hurtigruten turned around at Folda	The Hurtigruten "Richard With" encountered strong winds and waves of 12-15 meters over Folda Saturday morning. Therefore, the captain chose to turn the ship around and they now return to Rørvik.	http://www.adressa.no/nyheter/sortrondelag/2016/12/31/Hurtigruta-snudde-p%c3%a5-Folda-13999851.ece		
30	pluss	okonomi	New Year's Eve is made for bubbly drinks	For the first time, Vinmonopolet is open on New Year's Eve. Gaute Skjold is store manager at the pole at Valentinlyst and thinks he will sell the most sparkling.	http://www.adressa.no/pluss/okonomi/2016/12/31/Nytt%c3%a5rskvelden-er-skapt-for-sprudlende-drikke-13961449.ece		
31	nyheter	adressa noogda	Adressa glimpse from 1970	Episodes 43 years back.	http://www.adressa.no/nyheter/adressa_noogda/article8302883.ece		
33	nyheter	trondheim	Here you get at least 5000 in fine for rocket launch	But you can use some explosives in Midtbyen as well.	http://www.adressa.no/nyheter/trondheim/article8885355.ece		
34	nyheter	innenriks	15 000 more in lump sum for new parents	New parents, who have not earned the right to parental benefits, will receive NOK 15,000 more in lump sum benefits from the New Year. Newly arrived immigrants, on the other hand, receive cuts in the right to action money.	http://www.adressa.no/nyheter/innenriks/2016/12/31/15-000-mer-i-engangsbel%c3%b8p-til-nybakte-foreldre-13988480.ece		
36	nyheter	trondheim	Today opened a new playland at Lade	Leo's playland has moved from Tiller to Lade. Joining the team are about 30 new employees.	http://www.adressa.no/nyheter/trondheim/2016/06/23/I-dag-%c3%a5pnet-nytt-lekeland-p%c3%a5-Lade-12937063.ece		
39	nyheter	okonomi	Construction boom leads to strong growth for Hent	The construction company had a turnover of more than NOK three billion in 2011.	http://www.adressa.no/nyheter/okonomi/article5947431.ece		
42	100sport	vintersport	Did you think 2017 will be a boring sports year? Think again	The highlights are lined up. Here is the most important thing to see.	http://www.adressa.no/100Sport/vintersport/Trodde-du-at-2017-blir-et-kjedelig-idrettsar-Tro-om-igjen-227773b.html		
43	nyheter	trondheim	Fire call to kitchen at Singsaker	Heating in a refrigerator triggered a full fire on Saturday afternoon. The fire department has the situation under control.	http://www.adressa.no/nyheter/trondheim/2016/12/31/Brannutrykning-til-kj%c3%b8kken-p%c3%a5-Singsaker-13999863.ece		
44	100sport	fotball	This is how the Football World Cup will be in Qatar	Accusations of corruption, inhumane treatment of guest workers and an inhospitable climate. Nevertheless, Qatar is in World Cup territory.	http://www.adressa.no/100Sport/fotball/Slik-blir-fotball-VM-i-Qatar-228047b.html		
47	100sport	mesterskap	Quiz: Who is the man who greets King Harald in this picture?	We've dived into the archives and found some old sports heroes. But do you remember them?	http://www.adressa.no/100Sport/mesterskap/Quiz-Hvem-er-mannen-som-hilser-pa-Kong-Harald-pa-dette-bildet-227536b.html		
50	nyheter	trondheim	The city hall will be located at Nidarø	Massive protests and actions have not affected the majority of the city council. On Thursday evening, they knocked through that the new metropolitan hall will be located at Nidarø.	http://www.adressa.no/nyheter/trondheim/2016/12/15/Storbyhallen-skal-ligge-p%c3%a5-Nidar%c3%b8-13937493.ece		
52	100sport	fotball	Let's hope that Viking becomes Norway's leading team in "gegenpress"	BLOG: Johan Selvig sums up the 2016 season and looks forward to 2017.	http://www.adressa.no/100Sport/fotball/--La-oss-hape-at-Viking-blir-norges-ledende-lag-i-gegenpress-228089b.html		
54	100sport	vintersport	Koteng: - Difficult to get investors	Ivar Koteng likes the idea of a new hockey hall in town. But I think it will be tough for the hockey family to get private investors on board with the project.	http://www.adressa.no/100Sport/vintersport/Koteng---Vanskelig-a-fa-investorer-227928b.html		
56	nyheter	oppdraget	Source sorting?	Not exactly stupid, but full of stupid questions. I take on the task of finding answers to the questions you don't ask out loud with others.	http://www.adressa.no/nyheter/oppdraget/2015/10/25/Hvorfor-har-ikke-Trondheim-kommune-kildesortering-...N%c3%a5r-Namsos-har-...-11717979.ece		
57	nyheter	okonomi	If you have a tenant, you must measure radon	Next year, homeowners need to know what radon levels are in rental properties.	http://www.adressa.no/nyheter/okonomi/article8866981.ece		
58	nyheter	sortrondelag	Now there will be a new road between Trondheim and Klæbu	Road works create major challenges for road users this summer.	http://www.adressa.no/nyheter/sortrondelag/2016/12/18/N%c3%a5-blir-det-ny-vei-mellom-Trondheim-og-Kl%c3%a6bu-13937400.ece		
59	nyheter	utenriks	This is how New Year's Eve is celebrated	See the pictures from the New Year celebrations.	http://www.adressa.no/nyheter/utenriks/article6885389.ece		
60	pluss	magasin	Trond and Aleksander have had their Christmas decorations out there for three months. Now they are ready for a New Year's party.	When Aleksander and Trond pack up their Christmas decorations and let the New Year's party take over, they have had a Christmas home for three months.	http://www.adressa.no/pluss/magasin/2016/12/30/Hos-Trond-varer-jula-i-tre-m%c3%a5neder-13961721.ece		
62	nyheter	trondheim	We've collected fireworks from 11 years ago	From a lot of private fireworks and eventually over to municipal fireworks. Here's how the colorful shows have changed over the past 11 years. And the finale from last year is a mix of northern lights and fireworks	http://www.adressa.no/nyheter/trondheim/2016/12/30/Se-fyrverkeribildene-fra-11-%c3%a5r-tilbake-13996930.ece		
