	user	Histories	Behaviors
0	U0	J1640 J6596 J1535 J7278	J2037-0 J7756-0 J4607-1 J4018-0 J1373-0 J1011-0 J4559-0 J6536-0 J1951-0 J954-0 J6778-0 J4995-0 J6399-0 J3393-0 J3337-0 J7497-0 J1985-0 J1525-0 J2934-0 J3675-0
1	U1	J1122 J7039 J21 J4847	J7564-0 J4696-0 J3947-0 J6933-0 J4079-0 J7656-0 J4341-0 J7099-0 J750-0 J6710-0 J5745-0 J4743-0 J7352-0 J7171-0 J1734-0 J5122-0 J4223-1 J2704-1 J4906-0 J2784-0
2	U2	J8255 J4824 J68 J2239 J7840 J1155 J7187 J956 J5861 J7103	J3012-0 J6829-0 J3126-0 J2877-0 J1887-0 J1770-0 J5053-0 J7611-0 J1211-0 J3355-0 J2890-0 J5712-0 J258-0 J5681-0 J2589-0 J1101-0 J2218-0 J2277-0 J5227-0 J5630-0
3	U3	J1719 J176 J4659 J5165 J2982 J3369	J1131-1 J3626-1 J4172-0 J833-0 J1261-1 J7742-0 J7042-0 J1132-0 J6617-1 J6307-0 J3151-0 J2213-0 J554-0 J1104-0 J3165-0 J4530-0 J5350-0 J5062-1 J8101-1 J1761-0
4	U4	J228 J2635 J269 J886 J1651 J7993	J2963-1 J3079-0 J625-0 J1588-0 J3579-0 J5209-0 J3166-1 J4953-0 J3170-0 J7657-0 J5474-1 J3106-1 J6529-0 J7566-0 J2023-0 J2291-0 J2895-0 J4421-0 J3279-0 J3874-0
5	U5	J6126 J2460 J1184	J2832-0 J4474-0 J5991-0 J4420-0 J5688-1 J4008-0 J1657-0 J7520-0 J7342-0 J2313-0 J7685-0 J1906-1 J3040-0 J6714-0 J1388-0 J71-0 J7682-0 J1002-1 J6174-1 J5572-0
6	U6	J3141 J6230 J4321 J4938	J7599-0 J6090-0 J7377-0 J6478-0 J7870-0 J4225-0 J3643-0 J238-0 J3769-0 J506-0 J888-0 J136-0 J8120-0 J6245-0 J8156-0 J3685-0 J29-0 J7530-1 J6334-0 J6887-1
7	U7	J617 J2450 J4128 J1211 J6782	J3776-1 J1242-1 J5725-1 J2489-0 J7333-0 J2217-0 J7765-0 J337-0 J2763-0 J5798-0 J4477-0 J1556-1 J5253-0 J2241-0 J8185-0 J2311-0 J4220-0 J7129-0 J490-0 J1783-0
8	U8	J575 J1320 J630 J7300 J2069	J2425-0 J1720-0 J5175-0 J3718-0 J1425-0 J2980-0 J1723-0 J3063-0 J952-0 J7430-0 J4306-0 J7623-0 J2930-0 J3135-0 J6017-0 J6357-0 J7216-0 J2077-0 J420-0 J1703-0
9	U9	J4012 J3871 J7447 J28 J5666 J4921 J7071 J3925 J7037 J717 J2702 J3844 J7296	J2734-1 J411-0 J6345-0 J1203-0 J7813-0 J5346-0 J3593-1 J2688-1 J2541-0 J6377-0 J1012-0 J3458-0 J7620-0 J6913-0 J4195-0 J7762-0 J7293-0 J8024-0 J167-0 J4053-0
