user	Histories	Behaviors
U1262	J1358 J1357	J3446-0 J7773-0 J285-0 J7847-0 J3268-0 J5769-0 J3975-0 J6713-0 J850-0 J1569-0 J6602-0 J5647-0 J707-0 J7957-0 J6120-0 J6090-0 J5701-0 J6125-0 J5763-0 J5885-0
U2445	J5493 J631 J2726 J5403 J2409	J5106-0 J7145-0 J4214-0 J5940-0 J7330-0 J4310-0 J1285-0 J6090-0 J5347-0 J2128-0 J1797-0 J7760-0 J1913-0 J589-0 J7888-0 J7159-0 J3653-0 J2325-0 J1231-0 J596-0
U3595	J1243 J2243 J7632 J2818	J2004-0 J7896-0 J6536-0 J5178-0 J3416-0 J5562-0 J3553-1 J2246-0 J506-0 J1275-0 J1364-0 J5615-0 J304-1 J3104-0 J1778-0 J974-0 J6746-1 J4098-0 J924-1 J7931-0
U1672	J5620 J6226 J3653 J5295 J6368 J6153 J2150 J4473 J6839	J2673-0 J5213-0 J5183-0 J1586-0 J7438-1 J3713-0 J6158-0 J4227-0 J614-0 J2495-0 J2947-0 J3914-0 J7417-0 J3549-0 J4329-0 J7994-0 J8232-1 J2292-0 J532-0 J5865-1
U3454	J2133 J22 J5675 J4135	J2483-0 J3856-0 J6813-0 J2810-0 J5545-0 J5007-0 J2495-0 J1693-0 J5439-1 J248-0 J8117-0 J3197-0 J7046-0 J4827-0 J5880-0 J5396-0 J6290-0 J499-0 J4273-0 J345-0
U6275	J2857 J2150 J2133 J3586 J1905 J1745	J3388-0 J215-0 J1149-0 J2794-1 J6929-0 J3865-0 J1215-0 J2227-0 J700-0 J169-1 J4078-1 J7747-0 J2005-0 J1145-0 J3735-0 J2267-0 J2865-0 J5903-0 J6371-0 J6022-1
U8204	J1527 J6486 J8169 J3170 J1517 J4387 J3553 J533	J1762-0 J4648-0 J351-1 J1033-0 J1661-0 J8251-0 J1220-0 J3619-0 J1995-0 J5675-0 J4118-0 J5307-0 J405-0 J1203-0 J3320-0 J489-0 J3625-0 J7867-0 J8123-0 J1131-1
U5304	J7572 J1568 J141 J2505	J3968-0 J7830-0 J5990-0 J3527-1 J960-0 J4727-0 J727-0 J2901-0 J2687-1 J5344-0 J5293-0 J1430-0 J4225-0 J7595-0 J2053-0 J1591-1 J4585-0 J853-1 J7590-0 J1063-0
U8626	J1122 J3921 J3849 J2581 J2596 J4340	J3881-1 J7793-1 J4206-0 J4924-0 J6695-0 J6826-0 J6235-0 J2843-0 J4568-0 J4192-1 J1415-0 J3900-0 J5434-0 J849-0 J7268-1 J5099-0 J874-0 J4178-0 J2719-1 J78-1
U5577	J1464 J3 J907	J1855-1 J4644-0 J4517-0 J6728-0 J3761-0 J4284-0 J1236-0 J2759-0 J1849-0 J2059-0 J8220-0 J7202-0 J6796-1 J1688-1 J1637-1 J6336-0 J7204-0 J6645-0 J2597-0 J6645-0
